what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406219572
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406219659
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1369406227875
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1369406227905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369406228122
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1369406228167
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406260998
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406261130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406261200
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406264834
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406264950
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406265019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406270409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406290192
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1369406290215
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406293297
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406293376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369406340620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369406352097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369406364655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1369406366256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369406368424
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1369406373053
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369406374146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369406382815
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406385295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369406404378
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369406405994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369406414291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408436294
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369408439334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408446947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408736942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408754341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408821193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408840504
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369408895485
