what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1369671359650
os,sysinfo,,,"win32",1369671359650
arch,sysinfo,,,"x86",1369671359650
ws,sysinfo,,,"win32",1369671359650
locale,sysinfo,,,"en_US",1369671359650
processors,sysinfo,,,"2",1369671359650
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1369671359650
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1369671359650
java.specification.name,sysinfo,,,"Java Platform API Specification",1369671359650
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369671359650
java.specification.version,sysinfo,,,"1.6",1369671359650
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1369671359650
java.version,sysinfo,,,"1.6.0_24",1369671359650
java.vm.info,sysinfo,,,"mixed mode, sharing",1369671359650
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369671359650
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369671359650
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1369671359650
java.vm.specification.version,sysinfo,,,"1.0",1369671359650
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1369671359650
java.vm.version,sysinfo,,,"19.1-b02",1369671359650
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369671396138
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1369671397168
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1369671397246
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1369671397277
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1369671467799
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1369671467799
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1369671467799
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1369671467799
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1369671467799
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1369671467799
