what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1369413140974
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369413142947
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369413158462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369413168321
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369413179764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1369413184963
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369413186365
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1369413187387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369413197081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1369413230075
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369413236430
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1369413255714
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369413255898
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1369413255981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413263989
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413276730
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369413276745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413283376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413291443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413293001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413298818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413316600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413317720
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1369413318070
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1369413318784
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1369413318813
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1369413318848
